task_raw_id,task_id
a9_Task-1027_ft_0,32910279
a9_Task-1116_ft_0,32911169
a9_Task-1128_ft_0,32911289
a9_Task-1129_ft_0,32911299
a9_Task-1249_ft_0,32912499
a9_Task-1302_ft_0,32913029
a9_Task-1514_ft_0,32915149
a9_Task-1794_ft_0,32917949
a9_Task-1889_ft_0,32918899
a9_Task-1900_ft_0,32919009
a9_Task-1957_ft_0,32919579
a9_Task-1958_ft_0,32919589
a9_Task-2063_ft_0,32920639
a9_Task-2211_ft_0,32922119
a9_Task-2327_ft_0,32923279
a9_Task-242_ft_0,3292429
a9_Task-3363_ft_0,32933639
a9_Task-3497_ft_0,32934979
a9_Task-3533_ft_0,32935339
a9_Task-3637_ft_0,32936379
a9_Task-626_ft_0,3296269
a9_Task-661_ft_0,3296619
a9_Task-717_ft_0,3297179
a9_Task-838_ft_0,3298389
bi_Task-101_ft_0,3701019
bi_Task-1013_ft_0,37010139
bi_Task-102_ft_0,3701029
bi_Task-1028_ft_0,37010289
bi_Task-103_ft_0,3701039
bi_Task-106_ft_0,3701069
bi_Task-107_ft_0,3701079
bi_Task-1078_ft_0,37010789
bi_Task-1091_ft_0,37010919
bi_Task-11_ft_0,370119
bi_Task-111_ft_0,3701119
bi_Task-1186_ft_0,37011869
bi_Task-119_ft_0,3701199
bi_Task-1209_ft_0,37012099
bi_Task-130_ft_0,3701309
bi_Task-1364_ft_0,37013649
bi_Task-1373_ft_0,37013739
bi_Task-1449_ft_0,37014499
bi_Task-1765_ft_0,37017659
bi_Task-1802_ft_0,37018029
bi_Task-1909_ft_0,37019099
bi_Task-2022_ft_0,37020229
bi_Task-2164_ft_0,37021649
bi_Task-2177_ft_0,37021779
bi_Task-22_ft_0,370229
bi_Task-2208_ft_0,37022089
bi_Task-2275_ft_0,37022759
bi_Task-2296_ft_0,37022969
bi_Task-2330_ft_0,37023309
bi_Task-2338_ft_0,37023389
bi_Task-2422_ft_0,37024229
bi_Task-245_ft_0,3702459
bi_Task-2452_ft_0,37024529
bi_Task-255_ft_0,3702559
bi_Task-2630_ft_0,37026309
